
 STAID, SOUID,    DATE,   TG, Q_TG
  7012,142184,19930823,  130,    0
  7012,142184,19930824,  120,    0
  7012,142184,19930825,  128,    0
  7012,142184,19930826,  120,    0
  7012,142184,19930827,  112,    0
  7012,142184,19930828,  126,    0
  7012,142184,19930829,  112,    0
  7012,142184,19930830,  114,    0
  7012,142184,19930831,  109,    0
  7012,142184,19930901,  119,    0
  7012,142184,19930902,  123,    0
  7012,142184,19930903,  109,    0
  7012,142184,19930904,   99,    0
  7012,142184,19930905,   99,    0
  7012,142184,19930906,  105,    0
  7012,142184,19930907,  102,    0
  7012,142184,19930908,  103,    0
  7012,142184,19930909,  109,    0
  7012,142184,19930910,   90,    0
  7012,142184,19930911,   92,    0
  7012,142184,19930912,   94,    0
  7012,142184,19930913,   78,    0
  7012,142184,19930914,   77,    0
  7012,142184,19930915,   81,    0
  7012,142184,19930916,   75,    0
  7012,142184,19930917,   68,    0
  7012,142184,19930918,   78,    0
  7012,142184,19930919,   76,    0
  7012,142184,19930920,   86,    0
  7012,142184,19930921,  112,    0
  7012,142184,19930922,  113,    0
  7012,142184,19930923,  107,    0
  7012,142184,19930924,   77,    0
  7012,142184,19930925,   58,    0
  7012,142184,19930926,   68,    0
  7012,142184,19930927,   71,    0
  7012,142184,19930928,   56,    0
  7012,142184,19930929,   51,    0
  7012,142184,19930930,   52,    0
  7012,142184,19931001,   65,    0
  7012,142184,19931002,   76,    0
  7012,142184,19931003,   64,    0
  7012,142184,19931004,   77,    0
  7012,142184,19931005,   92,    0
  7012,142184,19931006,   96,    0
  7012,142184,19931007,   95,    0
  7012,142184,19931008,   88,    0
  7012,142184,19931009,   74,    0
  7012,142184,19931010,   86,    0
  7012,142184,19931011,   94,    0
  7012,142184,19931012,   61,    0
  7012,142184,19931013,   96,    0
  7012,142184,19931014,   48,    0
  7012,142184,19931015,   25,    0
  7012,142184,19931016,   45,    0
  7012,142184,19931017,   43,    0
  7012,142184,19931018,   35,    0
  7012,142184,19931019,   72,    0
  7012,142184,19931020,   70,    0
  7012,142184,19931021,   30,    0
  7012,142184,19931022,   -7,    0
  7012,142184,19931023,   14,    0
  7012,142184,19931024,   36,    0
  7012,142184,19931025,   33,    0
  7012,142184,19931026,   17,    0
  7012,142184,19931027,   24,    0
  7012,142184,19931028,   58,    0
  7012,142184,19931029,   19,    0
  7012,142184,19931030,   40,    0
  7012,142184,19931031,   43,    0
  7012,142184,19931101,   38,    0
  7012,142184,19931102,   31,    0
  7012,142184,19931103,   23,    0
  7012,142184,19931104,   26,    0
  7012,142184,19931105,    9,    0
  7012,142184,19931106,    6,    0
  7012,142184,19931107,   13,    0
  7012,142184,19931108,   14,    0
  7012,142184,19931109,   -8,    0
  7012,142184,19931110,  -25,    0
  7012,142184,19931111,  -31,    0
  7012,142184,19931112,  -25,    0
  7012,142184,19931113,  -26,    0
  7012,142184,19931114,  -21,    0
  7012,142184,19931115,  -16,    0
  7012,142184,19931116,  -35,    0
  7012,142184,19931117,  -25,    0
  7012,142184,19931118,    2,    0
  7012,142184,19931119,  -48,    0
  7012,142184,19931120,  -57,    0
  7012,142184,19931121,  -55,    0
  7012,142184,19931122,  -35,    0
  7012,142184,19931123,  -11,    0
  7012,142184,19931124,   -5,    0
  7012,142184,19931125,  -18,    0
  7012,142184,19931126,    6,    0
  7012,142184,19931127,   -3,    0
  7012,142184,19931128,  -24,    0
  7012,142184,19931129,  -35,    0
  7012,142184,19931130,  -52,    0
  7012,142184,19931201,  -40,    0
  7012,142184,19931202,  -45,    0
  7012,142184,19931203,  -52,    0
  7012,142184,19931204,   -8,    0
  7012,142184,19931205,   20,    0
  7012,142184,19931206,   12,    0
  7012,142184,19931207,   21,    0
  7012,142184,19931208,   13,    0
  7012,142184,19931209,    7,    0
  7012,142184,19931210,   -6,    0
  7012,142184,19931211,  -15,    0
  7012,142184,19931212,  -31,    0
